inventor,patents,coworkers_patents,patents/coworkers_patents
BENTKOWSKI ZDZISLAW,1,1.0,1.0
BERETA JOANNA,3,0.5833333333333334,5.142857142857142
BERETA MICHAL,3,0.7878787878787878,3.807692307692308
BEREZNICKA ANNA,1,0.0,0
BERKOWSKI MAREK,1,0.3235294117647059,3.090909090909091
BEUZEN NICOLAS,4,2.619047619047619,1.5272727272727273
BIALEK-WYRZYKOWSKA URSZULA,1,0.0,0
BIEDRZYCKI MAREK,1,0.0,0
BIEDUNKIEWICZ ANNA,2,0.2653061224489796,7.538461538461538
BIELANSKA ELZBIETA,1,0.8333333333333334,1.2
BIELANSKI ADAM,1,0.25,4.0
BIELECKA URSZULA,1,0.25,4.0
BIELECKI ANDRZEJ,2,0.0,0
BIELECKI STANISLAW,5,0.5476190476190477,9.130434782608695
BIELSKI PAWEL,1,0.0,0
BIENIASZ WERONIKA,1,5.428571428571429,0.18421052631578946
BIENIEK MICHAL,8,6.1,1.3114754098360657
BIENKIEWICZ GRZEGORZ,2,0.2222222222222222,9.0
BIENKOWSKA MARIA,1,0.0,0
BIENKOWSKA-SZEWCZYK KRYSTYNA,1,2.189655172413793,0.45669291338582674
BIENKOWSKI JERZY,1,0.0,0
BIENKOWSKI KRZYSZTOF,1,0.5555555555555556,1.7999999999999998
BIENKOWSKI PRZEMYSLAW,1,1.0545454545454545,0.9482758620689656
BIENKOWSKI TOMASZ,2,0.0,0
BIERCZYNSKA-KRZYSIK ANNA,4,0.234375,17.066666666666666
BIERNACKI ARIEL,4,0.0,0
BIGDA JUSTYNA,1,0.631578947368421,1.5833333333333335
BILEWICZ ALEKSANDER,2,0.68,2.941176470588235
BINCZYK FRANCISZEK,2,1.105263157894737,1.8095238095238093
BINIAS DOROTA,1,0.5,2.0
BINIAS WLODZIMIERZ,1,0.0,0
BINKOWSKI MARCIN,4,0.5116279069767442,7.8181818181818175
BISKUPSKI ANDRZEJ,2,0.3448275862068966,5.8
BLASIAK EUGENIUSZ,5,0.0,0
BLASIAK WLODZIMIERZ,6,0.02631578947368421,228.0
BLASINSKA ANNA,1,3.6,0.2777777777777778
BLASINSKI HENRYK,4,0.13157894736842105,30.400000000000002
BLASZCZYK LESZEK,1,0.6666666666666666,1.5
BLASZCZYK ROMAN,6,0.0,0
BLAZIAK DAMIAN,1,1.3333333333333333,0.75
BLOCH SYLWIA,1,2.6363636363636362,0.37931034482758624
BLOCKI NARCYZ,2,5.315789473684211,0.37623762376237624
BOBER DARIUSZ,1,0.6,1.6666666666666667
BOBER LESZEK,1,0.3939393939393939,2.5384615384615388
BOBOWICZ MACIEJ,1,0.05405405405405406,18.5
BOBROWSKI MIROSLAW,4,0.0,0
BOCHNIA MAREK,2,0.6363636363636364,3.142857142857143
BOCHNIAK WLODZIMIERZ,6,0.625,9.6
BOCHTLER MATTHIAS,3,0.34375,8.727272727272727
BOCIAN SZYMON,1,0.5365853658536586,1.8636363636363635
BOCIAN WOJCIECH,1,0.9473684210526315,1.0555555555555556
BOCKOWSKI MICHAL,7,1.5294117647058822,4.5769230769230775
BOCZKOWSKA ANNA,1,0.45,2.2222222222222223
BODZIACHOWSKA-PANFIL MAGDALENA,1,5.777777777777778,0.17307692307692307
BODZIOCH AGNIESZKA,1,3.466666666666667,0.28846153846153844
BODZIONY TOMASZ,1,0.2,5.0
BOGDANIS GEORGIS,1,5.666666666666667,0.1764705882352941
BOGDANOWICZ ROBERT,2,1.0,2.0
BOGIEL MONIKA,3,1.0833333333333333,2.7692307692307696
BOGUSZ PAWEL,1,0.0,0
BOGUSZEWSKA-CHACHULSKA ANNA,1,0.3333333333333333,3.0
BOGUSZEWSKI PAWEL,1,0.0,0
BOJAKOWSKI KRZYSZTOF,2,0.2,10.0
BOJARSKI ANDRZEJ,6,0.0,0
BOJARSKI JERZY,1,1.8,0.5555555555555556
BOJARSKI LUKASZ,3,0.8,3.75
BOLEK PAULINA,1,1.125,0.8888888888888888
BONAR EMILIA,1,1.4,0.7142857142857143
BONCLER MAGDALENA,1,0.7857142857142857,1.2727272727272727
BONTEMPS-GRACZ MARIA,1,9.72,0.10288065843621398
BORATYNSKI JANUSZ,6,2.8421052631578947,2.111111111111111
BORDZILOWSKI JACEK,3,0.0,0
BOREK ALEKSANDER,5,0.5,10.0
BORKOWSKA MALGORZATA,1,0.0,0
BORKOWSKI STANISLAW,1,0.0,0
BORODZINSKI ANDRZEJ,1,0.9245283018867925,1.0816326530612246
BOROWA-MAZGAJ BARBARA,1,0.5789473684210527,1.7272727272727273
BOROWIEC MARTA,1,0.0,0
BOROWSKI EDWARD,36,0.4782608695652174,75.27272727272727
BOROWSKI JACEK,2,0.0,0
BOROWSKI JAN,1,0.0,0
BOROWSKI JERZY,1,0.2631578947368421,3.8000000000000003
BOROWSKI TOMASZ,1,0.14285714285714285,7.0
BORSUKIEWICZ-GOZDUR ALEKSANDRA,3,0.46153846153846156,6.5
BORTEL EDGAR,2,0.7209302325581395,2.774193548387097
BORUSZEWSKI ARTUR,4,0.0,0
BORYCKA KATARZYNA,1,0.391304347826087,2.5555555555555554
BORYSIAK SLAWOMIR,1,0.8571428571428571,1.1666666666666667
BORYSKI JERZY,2,4.153846153846154,0.48148148148148145
BORYSOWSKI JAN,1,8.727272727272727,0.11458333333333334
BOUTARD NICOLAS,1,0.0,0
BOZEK KATARZYNA,1,0.0,0
BRANSKI PIOTR,1,0.5,2.0
BRASZCZYNSKI JANUSZ,1,0.0,0
BRATOSZEWSKI PIOTR,1,4.8,0.20833333333333334
BRETNER MARIA,2,0.6206896551724138,3.2222222222222223
BRINDELL MALGORZATA,2,1.3333333333333333,1.5
BRODZIKOWSKA ANIELA,1,0.0,0
BRONIEWSKI TADEUSZ,1,0.0,0
BRONIKOWSKI TADEUSZ,2,1.5833333333333333,1.2631578947368423
BRYJAK MAREK,3,0.07692307692307693,39.0
BRYL EWA,1,0.0784313725490196,12.75
BRYSZEWSKA MARIA,4,0.23529411764705882,17.0
BRZESKI ANDRZEJ,4,0.0,0
BRZESKI LECH,1,0.75,1.3333333333333333
BRZESKI MICHAL,10,0.0,0
BRZEZANSKI MAREK,1,0.0,0
BRZEZINSKI JERZY,4,0.3333333333333333,12.0
BRZEZINSKI STANISLAW,1,0.0,0
BRZOZKA KRZYSZTOF,10,3.0,3.3333333333333335
BRZOZOWSKA EWA,2,5.176470588235294,0.38636363636363635
BRZOZOWSKI ZBIGNIEW,9,0.1111111111111111,81.0
BRZOZOWSKI ZDZISLAW,1,0.29545454545454547,3.3846153846153846
BRZYCHCZY-WLOCH MONIKA,8,1.5681818181818181,5.101449275362319
BUCHALSKA MARTA,2,2.2181818181818183,0.9016393442622951
BUCKI ADAM,5,2.5,2.0
BUCZEK JAN,1,0.0,0
BUCZKO WLODZIMIERZ,1,0.4625,2.162162162162162
BUCZYNSKI RYSZARD,4,0.8181818181818182,4.888888888888888
BUDKOWSKI ANDRZEJ,1,0.20987654320987653,4.764705882352941
BUDNIAK ADAM,1,0.25,4.0
BUDNICKI DAWID,1,10.689655172413794,0.09354838709677418
BUDYNEK PAULINA,2,9.0,0.2222222222222222
BUDZIOCH JANUSZ,2,0.29310344827586204,6.8235294117647065
BUDZKO LUCYNA,2,1.375,1.4545454545454546
BUGLACKI HENRYK,1,0.0,0
