person_name_alias,coworker_name_alias,common_publications_count
ADAMCZYK MAREK,MOCZULSKI WOJCIECH,1
ADAMCZYK MAREK,BULANDRA KAZIMIERZ,1
ADAMCZYK WOJCIECH,ADAMCZYK WOJCIECH,13
ADAMCZYK WOJCIECH,OSTROWSKI ZIEMOWIT,1
ADAMCZYK WOJCIECH,BULINSKI PIOTR,1
ADAMCZYK WOJCIECH,ROJCZYK MAREK,1
ADAMCZYK WOJCIECH,RYFA ARKADIUSZ,1
ADAMKIEWICZ MALGORZATA,OHAGAN DAVID,2
ADAMKIEWICZ MALGORZATA,HAHNER GEORG,3
ADAMKIEWICZ MALGORZATA,ADAMKIEWICZ MALGORZATA,3
ADAMKIEWICZ MALGORZATA,O'HAGAN DAVID,1
ADAMKIEWICZ MALGORZATA,O'HARA TONY,1
ADAMOWICZ PIOTR,HYDZIK PIOTR,1
ADAMOWICZ PIOTR,ADAMOWICZ PIOTR,13
ADAMOWICZ PIOTR,KALA MARIA,2
ADAMOWICZ PIOTR,ZUBA DARIUSZ,3
ADAMOWICZ PIOTR,AMBROZIAK KATARZYNA,1
ADAMOWICZ PIOTR,LECHOWICZ WOJCIECH,1
ADAMOWICZ PIOTR,MALCZYK ALEKSANDRA,1
ADAMOWICZ PIOTR,GIERON JOANNA,1
ADAMOWICZ PIOTR,TOKARCZYK BOGDAN,2
ADAMSKA EWELINA,BARCISZEWSKI JAN,1
ADAMSKA EWELINA,ADAMSKA EWELINA,2
ADAMSKA EWELINA,MARKIEWICZ WOJCIECH T.,1
ADAMSKA EWELINA,TANG J.W.,1
ADAMSKA EWELINA,MAY SHOSHANNA,1
ADAMSKI ANDRZEJ,ADAMSKI ANDRZEJ,20
ADAMSKI ANDRZEJ,TURNAU ANDRZEJ,1
ADAMSKI ANDRZEJ,FLOREK KRZYSZTOF,1
ADAMSKI ANDRZEJ,SOJKA ZBIGNIEW,4
ADAMSKI ANDRZEJ,CHMIEL WOJCIECH,1
ADAMSKI ANDRZEJ,GIL BARBARA,1
ADAMSKI ANDRZEJ,LEIHS DIETRICH,1
ADAMSKI ANDRZEJ,KOTARBA ANDRZEJ,1
ADAMSKI ANDRZEJ,JAKUBUS PAWEL,2
ADAMSKI ANDRZEJ,CHE MICHEL,1
ADAMSKI PAWEL,ADAMSKI PAWEL,2
ADAMSKI PAWEL,STRUS MAGDALENA,1
ADAMSKI PAWEL,HECZKO PIOTR B.,1
ADAMSKI PAWEL,PILARCZYK-ZUREK MAGDALENA,1
ADAMSKI TADEUSZ,ADAMSKI TADEUSZ,9
ADAMSKI TADEUSZ,KUCZYNSKA ANETTA,3
ADAMSKI TADEUSZ,SURMA MARIA,6
ADAMSKI TADEUSZ,OGRODOWICZ PIOTR,1
ADAMSKI TADEUSZ,MIKOLAJCZAK KRZYSZTOF,1
ADAMSKI TADEUSZ,CHELKOWSKI JERZY,1
ADAMSKI TADEUSZ,WISNIEWSKA HALINA,1
ADAMSKI TADEUSZ,KACZMAREK ZYGMUNT,2
ADAMSKI TADEUSZ,KOSMALA ARKADIUSZ,1
ADAMSKI TADEUSZ,REBARZ MICHAL,1
ADAMSKI TADEUSZ,SALMANOWICZ BOLESLAW P,1
ADAMSKI TADEUSZ,CZAJKA STANISLAW,1
ADAMUS JAN,REIMSCHUSSEL WLADYSLAW,2
ADAMUS JAN,ADAMUS JAN,4
ADAMUS JAN,PUCHOWICZ DOROTA,1
ADAMUS JAN,GEBICKI JERZY,1
ADAMUS JAN,PANETH PIOTR,1
ADAMUS JAN,SIKORA ADAM,1
