inventor,patents,coworkers_patents
GRZYWACZ MARCIN,1,1.0
GUBERNATOR JERZY,9,6.25
GUDRA TADEUSZ,3,2.0
GUDYKA SYLWIA,1,7.375
GULAJSKI LUKASZ,10,43.95652173913044
GUMIENIAK JERZY,2,28.166666666666668
GUMULA STANISLAW,37,8.0
GUNERKA PAWEL,7,21.75
GUNIA AGNIESZKA,2,7.5
GUT-WINIARSKA MONIKA,1,1.0
GUZENDA PIOTR,5,32.333333333333336
GUZIALOWSKA-TIC JOANNA,1,1.0
GUZOW KATARZYNA,1,1.0
GUZOWSKI JAN,1,66.0
HABER JERZY,12,13.0
HAC ALEKSANDRA,1,8.857142857142858
HALAGAN KRZYSZTOF,4,5.5
HALAMA AGNIESZKA,2,3.466666666666667
HAMANKIEWICZ BARTOSZ,1,2.25
HANDZLIK JADWIGA,2,10.8
HAPONIUK JOZEF,5,1.875
HAS ZDZISLAW,4,21.5
HECZKO PIOTR,24,15.75
HEJNA ALEKSANDER,1,3.6176470588235294
HELLER KRZYSZTOF,1,3.75
HENCZKA MAREK,2,3.888888888888889
HENECZKOWSKI MACIEJ,8,5.633333333333334
HETMANCZYK MAREK,2,1.0
HETPER JACEK,4,2.6
HINC KRZYSZTOF,3,3.8378378378378377
HOFFMANN PIOTR,2,5.555555555555555
HOGENDORF ADAM,2,5.5
HOGENDORF AGATA,2,5.1
HOJA JERZY,6,3.6666666666666665
HOLDYNSKI ZBIGNIEW,22,21.61111111111111
HOLENKO MATEUSZ,1,1.3333333333333333
HOLTZER MARIUSZ,9,3.75
HOLUB MARCIN,1,2.5
HOLYST ROBERT,18,11.0
HOREGLAD PAWEL,1,3.0
HORODECKA RENATA,1,2.0
HOROWSKA BARBARA,6,31.75
HOTOWY ANNA,3,3.7555555555555555
HRECZUCH WIESLAW,7,5.0
HRECZYCHO GRZEGORZ,4,87.0
HRENIAK DARIUSZ,13,19.476190476190474
HRYNIEWICZ WALERIA,5,2.6666666666666665
HUPKA JAN,14,9.875
HUYNH TAN-PHAT,4,4.0
HUZARSKI TOMASZ,18,17.087719298245613
HYZ KAROLINA,4,5.083333333333333
IGRAS JANUSZ,1,7.5
INDYKA PAULINA,2,7.918918918918919
IONOV MAKSIM,1,13.538461538461538
ISAKOW ZBIGNIEW,13,2.5714285714285716
IWAN MICHALINA,1,3.0
IWANICKI ADAM,3,5.75
IWASZENKO SEBASTIAN,1,1.1428571428571428
IZDEBSKI JAN,12,8.0
IZYKOWSKI JAN,91,51.94444444444444
JABLONSKI ALEKSANDER,1,3.0
JABLONSKI MIROSLAW,2,1.0
JABLONSKI SLAWOMIR,3,3.0
JACHYM BRONISLAW,2,8.0
JACHYMEK WOJCIECH,4,12.942307692307692
JACKOWIAK PAULINA,4,12.384615384615385
JADCZYK TOMASZ,6,12.8
JAGIELLO AGATA,4,47.5
JAJSZCZYK ANDRZEJ,8,11.285714285714286
JAKIELA SLAWOMIR,14,40.59090909090909
JAKIMOWICZ PIOTR,7,3.1666666666666665
JAKOBKIEWICZ-BANECKA JOANNA,12,7.803030303030303
JAKUBOWICZ JAROSLAW,1,4.0
JAKUBOWSKA ANNA,5,2.0
JAKUBOWSKA MALGORZATA,13,5.0
JAKUBOWSKA-ZAHORSKA RENATA,4,25.0
JAKUBOWSKI ZENON,4,4.0
JALMUZNA WOJCIECH,1,4.2631578947368425
JANAS JANUSZ,7,5.2727272727272725
JANASZEWSKI MARCIN,3,1.7272727272727273
JANCZYK WOJCIECH,11,3.0
JANECKI DARIUSZ,13,1.0
JANETA MATEUSZ,1,5.0
JANIAK MAREK,3,5.0
JANICKI JAROSLAW,1,9.0
JANICKI STANISLAW,5,13.0
JANIGA ANITA,5,5.0
JANIK HELENA,1,1.1111111111111112
JANIK PRZEMYSLAW,4,4.0
JANKAU JERZY,1,2.0
JANKOWSKI PAWEL,15,11.5
JANOSZEK TOMASZ,1,1.0
JANUS KRZYSZTOF,3,1.2
JANUS RAFAL,4,6.5
JANUSZEWSKA ANETA,2,25.0
JANUSZKA MARCIN,3,3.6666666666666665
JANUSZKIEWICZ LUKASZ,11,3.5
JANUSZKO ADAM,7,4.0
JAREMEK HENRYK,33,4.0
JARMUNDOWICZ WLODZIMIERZ,1,1.8571428571428572
JARNO LESZEK,4,1.0
JAROCKA URSZULA,1,7.0
JAROSZ MATEUSZ,2,7.714285714285714
JAROSZ WOJCIECH,41,2.3333333333333335
JAROSZEWICZ ZBIGNIEW,8,1.0
JARZAB BARBARA,2,1.6363636363636365
JARZAB MICHAL,2,1.9090909090909092
JARZEBSKI ANDRZEJ,8,40.833333333333336
JARZYNA WOJCIECH,1,8.25
JASCHIK MANFRED,6,6.739130434782608
JASIENKO STEFAN,1,1.0
JASINSKA MAGDALENA,2,4.0
JASIOLEK GABRIEL,2,10.0
JASKIEWICZ JANUSZ,1,6.0
JASKOWSKA JOLANTA,11,24.0
JASNY JAN,4,1.0
JASTRZABEK KONRAD,4,11.0
JASTRZEBSKA BEATA,1,8.615384615384615
JATCZAK KAMIL,13,12.142857142857142
JAWICZUK MAGDALENA,4,13.84
JAWORSKA EWA,1,2.2857142857142856
JAWORSKA-SOBCZAK AGNIESZKA,1,2.0
JAWORSKI SLAWOMIR,3,3.0
JAZDZEWSKI KRYSTIAN,2,2.210526315789474
JEDLINA-PANASIUK LUIZA,7,25.0
JEDLINSKI ZBIGNIEW,17,6.8
JEDYNAK LUKASZ,6,13.833333333333334
JELEN FILIP,5,3.0
JEMIELITY JACEK,26,18.644444444444446
JEMIOLA-RZEMINSKA MALGORZATA,1,1.0
JEREMIASZ OLGIERD,2,7.4
JERZAK ANNA,5,9.5
JEZIERSKA ELZBIETA,1,1.0
JEZIORSKA REGINA,13,11.0
JEZOWSKA-BOJCZUK MALGORZATA,1,7.4
JODYNIS-LIEBERT JADWIGA,2,1.8461538461538463
JONSSON-NIEDZIOLKA MARTIN,2,3.5675675675675675
JOZKOWICZ ALICJA,4,4.0
JOZWIK JULITA,2,1.0
JOZWIK KRZYSZTOF,5,2.142857142857143
JUCHA JAROSLAW,1,3.0
JULISZEWSKI TADEUSZ,1,2.6285714285714286
JUNG JAROSLAW,4,7.5
JUNIEWICZ HENRYK,2,1.1666666666666667
JURCZAK MARGARITA,3,8.25
JURCZAKOWSKI RAFAL,33,8.235294117647058
JURCZUK KINGA,1,9.0
JUREWICZ KRZYSZTOF,3,8.666666666666666
JURGA KAZIMIERZ,5,8.5
JURGA MARCIN,1,1.0
JUST MARCIN,27,9.0
JUZWA JACEK,2,9.333333333333334
KACA WIESLAW,3,4.8
KACPERSKI DAMIAN,1,2.625
KACPERSKI MICHAL,3,2.0
KACPRZAK KAROL,24,13.166666666666666
KACPRZAK MICHAL,20,3.0
KACPRZYK RYSZARD,2,3.3333333333333335
KACZANOWSKI RADOSLAW,5,12.0
KACZMAREK ELZBIETA,8,14.666666666666666
KACZMAREK LESZEK,11,2.0
KACZMAREK LUKASZ,26,5.571428571428571
KACZMAREK PAWEL,5,1.3333333333333333
KACZMAREK RENATA,3,5.333333333333333
KACZMARSKA KAROLINA,1,2.8
KAFAR ANNA,4,10.921052631578947
KAJDAS CZESLAW,12,2.5
KALASKA BARTLOMIEJ,5,5.5
KALASZCZYNSKA ILONA,4,3.6666666666666665
KALICKA AGNIESZKA,1,1.0
KALINOWSKA-LIS URSZULA,2,3.111111111111111
KALINSKI KRZYSZTOF,1,1.0
KALISIAK STANISLAW,1,2.7777777777777777
KALITA WLODZIMIERZ,5,3.25
KALWARCZYK EWELINA,1,8.068965517241379
KALWARCZYK TOMASZ,1,11.414634146341463
KAMINSKA AGNIESZKA,7,8.083333333333334
KAMINSKI LUKASZ,2,5.666666666666667
KAMINSKI TOMASZ,40,6.0
KAMINSKI ZBIGNIEW,9,11.0
KAMYSZ WOJCIECH,2,5.875
KANIA GABRIELA,2,11.166666666666666
KANISZEWSKI STANISLAW,1,1.0
KANSKA URSZULA,5,7.333333333333333
KAPTURKIEWICZ ANDRZEJ,1,5.0
KARASIEWICZ JOANNA,11,39.53846153846154
KARBOWIAK MIROSLAW,1,1.0
KARBOWNICZEK MIROSLAW,3,8.0
KAREWICZ ANNA,2,30.45945945945946
KARGOL MARTA,1,32.0
KAROCKI ANDRZEJ,1,14.076923076923077
KARPIEL GRZEGORZ,1,1.52
KARWOWSKA EWA,1,1.0
KARWOWSKI DAMIAN,15,23.533333333333335
KASARELLO KAJA,3,2.5
KASPERCZYK JANUSZ,3,5.454545454545454
KASPROWICZ ALEKSANDRA,1,1.0
KASPROWICZ GRZEGORZ,2,6.0
KASPROWICZ MAGDALENA,1,2.0
KASZA KRZYSZTOF,18,25.2
KASZUBA ANDRZEJ,65,3.0
KATULSKI RYSZARD,2,2.857142857142857
KAUPA PATRYK,1,3.0
KAWALEC ADAM,1,2.0
KAWECKI ROBERT,6,10.5
KAZEK GRZEGORZ,7,10.142857142857142
KAZIMIERCZAK JERZY,2,3.0
KAZIMIERCZUK ZYGMUNT,8,4.875
KAZIMIERSKI ZBYSZKO,1,1.0
KAZIOR JAN,1,1.0
KAZMIERCZAK-BARANSKA JULIA,5,6.285714285714286
KEDZIERSKA ALEKSANDRA,8,4.0
KEDZIERSKI PIOTR,2,2.0
KEDZIERZAWSKI PIOTR,1,3.0
KEDZIORA ANDRZEJ,4,9.0
KEMPA ARNOLD,1,1.0
KEMPINSKA KATARZYNA,2,15.0
KEPSKA BLANKA,10,10.857142857142858
KERN-ZDANOWICZ IZABELA,1,2.3333333333333335
KESIK-BRODACKA MALGORZATA,16,23.444444444444443
KICIAK ADAM,6,3.6666666666666665
KICKO-WALCZAK EWA,14,5.2
KIEC-KONONOWICZ KATARZYNA,12,2.0
KIEDIK MACIEJ,27,5.5
KIELBIK RAFAL,4,4.333333333333333
KIELKIEWICZ JEDRZEJ,6,3.5
KIERZKOWSKA AGNIESZKA,8,5.0
KIESIEWICZ GRZEGORZ,2,2.7567567567567566
KIJENSKI JACEK,11,10.571428571428571
KILISZEK MAREK,2,2.0
KLAJNERT BARBARA,8,14.31578947368421
KLAJNERT-MACULEWICZ BARBARA,5,12.8125
KLAUS TOMASZ,1,2.3333333333333335
KLAWITER JAN,1,6.0
KLECZEWSKA NATALIA,6,22.666666666666668
KLEIN MAREK,9,4.2
KLEPKA TOMASZ,1,8.2
KLIMASZEWSKI KRZYSZTOF,25,26.057142857142857
KLIMEK JACEK,2,7.375
KLIMKOWICZ ALICJA,1,64.02631578947368
KLIMPEL ANDRZEJ,5,3.380952380952381
KLOPOTEK MIECZYSLAW,15,2.6666666666666665
KLOSSOWSKI SZYMON,15,8.0
KLUCZKOWSKI MAREK,3,1.0
KLUDKIEWICZ BARBARA,3,7.142857142857143
KLUGMANN-RADZIEMSKA EWA,1,3.3333333333333335
KMIEC MATEUSZ,1,1.0
KMITA GRZEGORZ,8,15.5
KNAPSKA EWELINA,2,6.846153846153846
KNYCH TADEUSZ,4,2.5925925925925926
KNYSAK PIOTR,1,1.9333333333333333
KOBEL-BUYS KRYSTYNA,7,4.0
KOBIERSKA AGNIESZKA,3,11.6
KOBIERZYCKI CHRISTOPHER,4,6.083333333333333
KOBUS KONRAD,1,1.0
KOBUS TADEUSZ,2,2.0
KOBUSINSKA ANNA,1,2.1538461538461537
KOCERBA-SOROKA WIOLETA,2,4.191489361702128
KOCHANOWSKI ANDRZEJ,5,5.142857142857143
KOCIUBA WALDEMAR,2,13.0
KOJ SABINA,5,9.0
KOKOCINSKI MACIEJ,2,2.0
KOLACZKOWSKI MARCIN,27,5.5
KOLANOWSKA MONIKA,2,2.2
KOLEK KRZYSZTOF,2,1.0
KOLESINSKA BEATA,11,6.0
KOLODZIEJ ANDRZEJ,3,2.0
KOLODZIEJ JACEK,5,26.6
KOLODZIEJAK KATARZYNA,1,1.6923076923076923
KOLODZIEJCZYK ANDRZEJ,1,6.055555555555555
KOLODZIEJCZYK PAWEL,13,35.333333333333336
KOMISARCZYK AGNIESZKA,6,7.294117647058823
KOMOSZYNSKI MICHAL,1,1.0
KONARSKI JERZY,7,8.0
KONCZEWICZ WANDA,1,7.4
KONIAREK JAROSLAW,1,5.0
KONIECZNA EWA,1,4.0
KONIECZNA LUCYNA,1,4.5
KONIECZNY JACEK,51,24.666666666666668
KONIECZNY JOLANTA,1,1.875
KONOPA JERZY,31,9.8
KONOPACKI MACIEJ,1,2.6
KONOPCZYNSKI ANDRZEJ,4,13.0
KONOPKA WITOLD,3,7.0
KOPALKO KRZYSZTOF,2,7.916666666666667
KOPCIUCH AGNIESZKA,3,4.4
KOPCZYNSKI BARTOSZ,9,27.0
KOPER ZBIGNIEW,1,1.0
KOPERA EDYTA,7,9.444444444444445
KOPROWSKA JOANNA,8,2.090909090909091
KOPROWSKI PIOTR,5,5.0
KOPYTO DOROTA,2,2.0
KORALEWSKA NATALIA,6,8.0
KORBAS EUGENIUSZ,4,1.0
KORBEL ANDRZEJ,13,11.0
KORBUT RYSZARD,4,3.0
KORCZAK ANDRZEJ,2,2.0
KORCZAK KATARZYNA,2,5.0
KORCZYK PIOTR,9,35.5
KORCZYNSKI DARIUSZ,3,3.0
KORDAS MARIAN,1,2.5483870967741935
KORECKI MACIEJ,22,41.0
KORZENIOWSKA-KOWAL AGNIESZKA,10,23.433333333333334
KOS TOMASZ,11,11.454545454545455
KOSCIELNIK DARIUSZ,44,43.72222222222222
KOSIERADZKI MACIEJ,1,5.590909090909091
KOSINSKA MONIKA,3,22.428571428571427
KOSMELA PAULINA,1,3.590909090909091
KOSSAKOWSKI JERZY,4,2.0
KOSSYKOWSKA MAGDALENA,1,14.25
KOSTEK BOZENA,4,6.5
KOSTRZAK ANNA,9,11.333333333333334
KOSZELEWSKI DOMINIK,4,10.0
KOT MARIUSZ,3,16.5
KOT MARTA,2,1.0
KOTARBA ANDRZEJ,15,5.444444444444445
KOTLAREK MARTA,2,2.3333333333333335
KOTOWSKI WLODZIMIERZ,2,1.5
KOTUNIA ANNA,3,5.428571428571429
KOTUS JOZEF,1,8.733333333333333
KOWAL ZBIGNIEW,1,1.0
KOWALAK KRZYSZTOF,2,3.6666666666666665
KOWALCZUK MAREK,8,11.941176470588236
KOWALCZYK ANDRZEJ,22,32.0
KOWALEWSKA MAGDALENA,8,3.3333333333333335
KOWALSKA EMILIA,1,5.0
KOWALSKA EWA,13,2.0
KOWALSKA EWELINA,2,34.0
KOWALSKA JOANNA,26,2.0
KOWALSKA SYLWIA,1,1.0
KOWALSKI MARCIN,18,18.0
KOWALSKI ZYGMUNT,3,3.25
KOWNACKA AGNIESZKA,13,50.5
KOWNACKI IRENEUSZ,31,55.45945945945946
KOWSZYK-GINDIFER ZUZANNA,2,4.0
KOZAKIEWICZ JANUSZ,2,8.272727272727273
KOZAKIEWICZ MARCIN,3,2.6
KOZERSKI LECH,10,5.25
KOZIAK KATARZYNA,18,11.285714285714286
KOZINSKI RAFAL,3,3.0
KOZIOL ANNA,1,9.0
KOZIOL PAWEL,2,4.0
KOZIOLKIEWICZ MARIA,2,13.4
KOZLOWSKA EWA,1,2.857142857142857
KOZLOWSKI RYSZARD,24,4.769230769230769
KOZUBEK ARKADIUSZ,9,2.4285714285714284
KRAJEWSKA ALEKSANDRA,2,2.823529411764706
KRAJEWSKI MICHAL,1,1.0
KRAJEWSKI PIOTR,5,10.0
KRAKOWSKI TOMASZ,4,4.0
KRAMKOWSKI KAROL,2,12.454545454545455
KRASODOMSKI WOJCIECH,1,3.0
KRASOWSKA ANNA,2,7.416666666666667
KRASOWSKA DOROTA,3,3.909090909090909
KRASZEWSKI ADAM,4,5.371428571428571
KRATA NATALIA,2,3.6666666666666665
KRAWCZENKO AGNIESZKA,5,9.2
KRAWCZYK KRZYSZTOF,4,11.0
KRAWCZYKOWSKA ALDONA,1,1.3333333333333333
KRAWCZYKOWSKI DAMIAN,1,1.0
KRAWCZYNSKA WIOLETTA,2,15.5
KRAWIECKA MARIOLA,2,3.3684210526315788
KREGIELCZAK AGNIESZKA,2,13.0
KRET SLAWOMIR,2,10.333333333333334
KREZEL ARTUR,5,10.666666666666666
KROKOWSKI DAWID,1,1.0
KROL JACEK,14,23.666666666666668
KROL MARCIN,6,5.0
KROL PIOTR,4,2.4
KROLEWSKA KAROLINA,2,5.0
KROLICKA ANNA,5,5.75
KROLIKOWSKI MAREK,4,10.0
KROSNIAK MIROSLAW,1,1.0
KROSZCZYNSKI WOJCIECH,5,12.0
KROWARSCH DANIEL,1,5.181818181818182
KRUCINSKA IZABELLA,11,3.5185185185185186
KRUEGER ANDRZEJ,14,15.0
KRUK JANUSZ,1,4.0
KRUKOWSKI ANDRZEJ,6,8.0
KRUKOWSKI STANISLAW,10,20.714285714285715
KRUPA ANNA,1,2.0
KRUPA WOJCIECH,6,1.0
KRUSZEWSKA JOANNA,2,2.0
KRYCZKA TOMASZ,1,1.0
KRYSIAK PIOTR,1,3.5
KRYSINSKI JAN,7,2.0
KRYSTYNOWICZ ALINA,4,5.75
KRYSZCZYNSKI TADEUSZ,15,3.0
KRYSZEWSKI MARIAN,9,7.444444444444445
KRZEMIENIEWSKI MIROSLAW,4,9.0
KRZEMINSKI ZBIGNIEW,8,3.142857142857143
KRZEMPEK KAROL,1,2.3095238095238093
KRZESZEWSKI MACIEJ,5,20.5
KRZYSIAK ANDRZEJ,1,1.0
KRZYSTOLIK PAWEL,3,5.0
KRZYSZTOFORSKI ANDRZEJ,9,10.0
KRZYZAK ARTUR,6,3.0
KRZYZOSIAK WLODZIMIERZ,5,8.5
KSEPKO EWELINA,5,8.333333333333334
KUBACKI ANDRZEJ,8,13.333333333333334
KUBALSKI ANDRZEJ,5,5.0
KUBAS KAROLINA,1,2.0
KUBICKA MARCELINA,4,1.0
KUBISZ JERZY,9,8.0
KUBISZEWSKI MAREK,11,17.653846153846153
KUCEWICZ WOJCIECH,5,1.5
KUCHARCZYK KRZYSZTOF,12,6.0
KUCHARSKI KRZYSZTOF,7,108.4
KUCINSKA-LIPKA JUSTYNA,1,1.1666666666666667
KUCINSKI TOMASZ,7,6.5
KUCWAJ KATARZYNA,9,17.133333333333333
KUCWAJ-BRYSZ KATARZYNA,5,10.26086956521739
KUCZYNSKA PAULINA,1,1.25
KUDASIK TOMASZ,4,4.2
KUDYBA ARTUR,1,4.0
KUDZIN MARCIN,1,3.7
KUJAWA JOLANTA,1,7.142857142857143
KUJAWSKA JUSTYNA,4,16.0
KUJAWSKA MALGORZATA,2,2.0
KUKLIK PAWEL,10,2.0
KULA PIOTR,43,16.6
KULA PRZEMYSLAW,6,6.6923076923076925
KULAK ANDRZEJ,8,19.625
KULCZYK MARIUSZ,10,2.7142857142857144
KULESZA JANUSZ,1,1.0
KULICZKOWSKI KAZIMIERZ,3,4.090909090909091
KULIKOWSKI TADEUSZ,9,3.5
KULINSKI STANISLAW,1,1.0
KULINSKI TADEUSZ,4,5.833333333333333
KULKA ANDRZEJ,4,3.75
KULPA DANUTA,1,1.0
KULPINSKI PIOTR,11,11.0
KULSZEWICZ-BAJER IRENA,1,31.235294117647058
KUNCE DANUTA,7,12.0
KUNICKI ANTONI,1,1.0
KURC MACIEJ,8,32.5
KURCZAB RAFAL,2,2.0
KUROWSKI PIOTR,2,5.0
KURTYCZ PATRYCJA,1,1.0
KURZAWSKI GRZEGORZ,11,16.857142857142858
KURZEPA KATARZYNA,6,5.666666666666667
KURZYNOGA DARIUSZ,11,11.133333333333333
KURZYNSKA-KOKORNIAK ANNA,7,8.65625
KUSNIERCZYK HALINA,3,10.571428571428571
KUSNIERUK SYLWIA,3,10.38888888888889
KUSTOSZ ROMAN,14,3.4
KUSTROWSKI PIOTR,9,6.181818181818182
KUSZNIEREWICZ BARBARA,1,6.714285714285714
KUTNER ANDRZEJ,89,11.555555555555555
KUTNER WLODZIMIERZ,4,1.6666666666666667
KUTWIN MARTA,3,3.8275862068965516
KUZNICKI JACEK,2,4.4
KWACZ MONIKA,1,4.888888888888889
KWIATKOWSKI JACEK,3,6.0
LABIENIEC MAGDALENA,2,6.0
LABOJKO GRZEGORZ,5,1.0
LAMPARSKA-PRZYBYSZ MONIKA,22,22.94736842105263
LAPINSKI KAZIMIERZ,1,2.0
LASEK WITOLD,2,5.75
LASKAWSKI MICHAL,3,3.0
LASKOWNICKI MICHAL,3,3.0
LASKOWSKA-KASZUB KATARZYNA,1,2.0
LASOCHA WIESLAW,5,10.333333333333334
LASZKIEWICZ BOGUMIL,12,48.0
LATKO PAULINA,2,4.666666666666667
LATOWSKI DARIUSZ,2,1.75
LAUBITZ DANIEL,3,3.3333333333333335
LAZAR JAN,6,5.0
LEBIOCKA MAGDALENA,1,2.0
LECIEJEWSKI ZBIGNIEW,2,1.5625
LEDOCHOWSKI ANDRZEJ,11,28.0
LEGUTKO PIOTR,1,9.7
LEHRICH KRZYSZTOF,8,14.0625
LEMKE KRZYSZTOF,23,1.0
LENDA TOMASZ,2,1.0
LEONOWICZ ANDRZEJ,3,5.666666666666667
LESNER ADAM,4,1.0
LESNIAK TOMASZ,8,8.0
LESNIEWSKI ADAM,1,3.1666666666666665
LESNIEWSKI MARCIN,3,10.333333333333334
LESZCZYNSKA AGNIESZKA,2,1.5
LESZCZYNSKI JACEK,2,42.0
LESZCZYNSKI SLAWOMIR,3,16.0
LESZCZYNSKI ZBIGNIEW,5,9.0
LEWANDOWSKA ANNA,1,3.0
LEWANDOWSKA MARTA,18,14.5
LEWANDOWSKA URSZULA,1,1.0
LEWANDOWSKA-SZUMIEL MALGORZATA,5,5.222222222222222
LEWANDOWSKI DARIUSZ,30,4.0
LEWANDOWSKI DOMINIK,4,10.5
LEWANDOWSKI WIKTOR,10,4.454545454545454
LEWARTOWSKA JOANNA,1,3.142857142857143
LEWERA ADAM,22,11.916666666666666
LEWICKI FRYDERYK,2,1.0
LEWINSKI JANUSZ,7,3.7142857142857144
LIBRANT KRZYSZTOF,2,4.142857142857143
LIBUS WLODZIMIERZ,1,2.0
LICHOLAI LECH,2,1.0
LIGENZA SLAWOMIR,15,34.0
LINDSTAEDT AGNIESZKA,7,9.333333333333334
LINKIEWICZ KAZIMIERZ,1,12.0
LIPINSKA LUDWIKA,11,3.0416666666666665
LIPINSKI TOMASZ,26,1.0
LIPNIACKI ANDRZEJ,9,6.0
LIS KRZYSZTOF,13,12.5
LISICKI ZYGMUNT,23,12.2
LISIK WOJCIECH,1,1.6
LISOWIEC ALEKSANDER,1,56.0
LISOWSKI WOJCIECH,3,20.05263157894737
LITWIN DARIUSZ,17,11.625
LITWIN WOJCIECH,1,1.8571428571428572
LITWIN-STASZEWSKA ELZBIETA,5,19.235294117647058
LOBOCKA MALGORZATA,12,7.0
LOBOCKI MICHAL,1,2.5
LOBODZINSKI WOJCIECH,1,10.0
LOJEWSKA JOANNA,3,3.0
LOJKOWSKI WITOLD,20,10.096774193548388
LOKAJ KRZYSZTOF,1,1.0
LOPATKA KUBA,8,7.142857142857143
LOPUSINSKI ANDRZEJ,5,6.7272727272727275
LOZINSKA IWONA,5,6.5
LUBELSKA KATARZYNA,4,2.8
LUBINSKI JAN,31,8.333333333333334
LUCZAK ADAM,18,27.428571428571427
LUCZNIK BOLESLAW,7,13.714285714285714
LUDWICKA KAROLINA,2,4.615384615384615
LUGOWSKI CZESLAW,15,10.8
LUKA GRZEGORZ,3,10.0
LUKASIAK MAGDALENA,7,6.888888888888889
LUKASIEWICZ JOLANTA,25,10.782608695652174
LUKASIK ANNA,3,22.0
LUKASZCZYK JAN,2,12.333333333333334
LUKASZEWICZ JERZY,2,3.6666666666666665
LUKASZEWICZ MACIEJ,6,21.2
LUKASZEWICZ MARCIN,8,2.25
LUKAWSKA MALGORZATA,2,14.428571428571429
LUKOMSKA ANETA,2,18.53846153846154
LUKOMSKA BARBARA,1,4.6
LUKOSEK MAREK,1,7.25
LUNIEWSKI WOJCIECH,7,25.5
LUNIO RAFAL,1,8.0
LUSIAK-SZELACHOWSKA MARZANNA,7,25.74074074074074
LUZAK BOGUSLAWA,2,2.0
LYCZKO KRZYSZTOF,1,1.6428571428571428
LYCZKO MONIKA,1,1.2307692307692308
MACH MATEUSZ,3,1.0
MACHALINSKI BOGUSLAW,2,1.6666666666666667
MACHEJ TADEUSZ,5,9.333333333333334
MACHNIEWSKI PIOTR,1,3.6666666666666665
MACIAG MONIKA,2,2.6
MACIEJAK AGATA,2,2.0
MACIEJAK ANDRZEJ,1,2.0
MACIEJCZYK MATEUSZ,1,1.0
MACIEJCZYK MICHAL,1,2.0
MACIEJEWSKI BARTOSZ,1,13.0
MACIEJEWSKI HENRYK,2,1.0
MACIEJEWSKI HIERONIM,34,50.82142857142857
MACIEJNY ADOLF,2,1.5
MACIERZYNSKA EWA,12,1.0
MACIUSZEK MONIKA,5,11.0
MACKOWIAK SLAWOMIR,8,5.954545454545454
MACYK WOJCIECH,21,17.8
MADZIAR JERZY,1,1.0
MAGDA JANUSZ,3,5.0
MAGIERA RADOMIR,3,1.0
MAGONSKI ZBIGNIEW,9,8.11111111111111
MAJCHRZAK MARIUSZ,14,62.32
MAJDA ALEKSANDER,1,1.0
MAJER JAKUB,7,4.578947368421052
MAJEWSKA JUSTYNA,2,3.0
MAJEWSKI ARKADIUSZ,3,9.5
MAJEWSKI WIESLAW,3,13.0
MAJKA GRZEGORZ,5,3.5
MAJKA ZBIGNIEW,53,13.0
MAJOREK MARIA,1,33.666666666666664
MAK PAWEL,1,1.3333333333333333
MAKARA MARIUSZ,7,8.7
MAKAROWA IRINA,1,11.825
MAKOSZA MIECZYSLAW,15,38.0
MAKOWIEC SLAWOMIR,7,6.0
MAKOWSKI DARIUSZ,2,3.6923076923076925
MAKOWSKI MAREK,1,5.0
MAKSYMIUK KRZYSZTOF,1,1.0
MAKULSKA SYLWIA,10,40.1
MAKURAT SAMANTA,1,14.25
MALAG ANDRZEJ,2,3.75
MALECKA KAMILA,1,6.538461538461538
MALECKI MACIEJ,4,3.5
MALESA MONIKA,4,3.25
MALICKI MAREK,5,7.0
MALINOWSKA IWONA,1,11.5
MALINOWSKA MAGDALENA,2,1.0
MALINOWSKI MAREK,5,26.0
MALINOWSKI PAWEL,10,4.0
MALINOWSKI PRZEMYSLAW,3,7.0
MALINOWSKI TADEUSZ,13,2.3333333333333335
MAMALA ANDRZEJ,4,2.8484848484848486
MAMES ADAM,1,7.294117647058823
MANIAK GABRIELA,2,10.0
MANIECKI TOMASZ,5,1.7142857142857142
MANIUKIEWICZ WALDEMAR,1,6.875
MANKOWSKI JERZY,11,8.4
MARCHWICKA ALEKSANDRA,3,10.818181818181818
MARCINEK ANDRZEJ,27,35.0
MARCINIEC KRZYSZTOF,1,10.0625
MARCINKIEWICZ JANUSZ,5,14.2
MARCINKOWSKA EWA,3,34.333333333333336
MARCINKOWSKA MONIKA,28,15.833333333333334
MARCZAK AGNIESZKA,1,1.0
MARCZAK STANISLAW,21,8.785714285714286
MARCZEWSKA HANNA,7,7.0
MARCZEWSKI MAREK,7,7.0
MARCZEWSKI WOJCIECH,2,3.0
MAREK-TRZONKOWSKA NATALIA,3,3.888888888888889
MARKIEWICZ MARIA,10,33.25
MARKIEWICZ MICHAL,2,1.0
MARKIEWICZ WOJCIECH,25,26.0
MARKOWICZ SERGIUSZ,6,23.5
MARKOWSKI JAROSLAW,1,20.0
MARKOWSKI ZENON,2,11.5
MARONA HENRYK,13,4.0
MARSZALEK KONSTANTY,2,13.0
MARTYNKIEN TADEUSZ,10,9.914285714285715
MARTYNOW JACEK,14,62.0
MARUSZAK WIOLETA,9,13.157894736842104
MARYCZ KRZYSZTOF,5,10.8
MARZEC MATEUSZ,1,4.333333333333333
MASNYK MAREK,2,14.653846153846153
MASZEWSKA AGNIESZKA,2,6.266666666666667
MATECKI KRZYSZTOF,2,5.0
MATLAK KRZYSZTOF,2,2.0
