inventor,patents,coworkers_patents
BOROWSKI EDWARD,79,12.4
BOROWSKI JERZY,3,2.3333333333333335
BOROWSKI TOMASZ,1,3.0
BORSUKIEWICZ-GOZDUR ALEKSANDRA,4,1.1666666666666667
BORTEL EDGAR,5,4.8125
BORYCKA KATARZYNA,2,4.75
BORYSIAK SLAWOMIR,2,2.9
BORYSKI JERZY,5,22.333333333333332
BORYSOWSKI JAN,5,33.7037037037037
BRANSKI PIOTR,1,1.0
BRATOSZEWSKI PIOTR,1,8.4375
BRETNER MARIA,4,8.0
BRINDELL MALGORZATA,2,17.571428571428573
BRONIKOWSKI TADEUSZ,4,2.75
BRYJAK MAREK,6,1.0
BRYL EWA,1,3.0
BRYSZEWSKA MARIA,14,5.6
BRZESKI LECH,1,1.0
BRZEZINSKI JERZY,4,1.0
BRZOZKA KRZYSZTOF,28,16.3
BRZOZOWSKA EWA,5,29.375
BRZOZOWSKI ZBIGNIEW,11,1.0
BRZOZOWSKI ZDZISLAW,1,2.0
BRZYCHCZY-WLOCH MONIKA,14,9.476190476190476
BUCHALSKA MARTA,8,15.08
BUCKI ADAM,30,23.166666666666668
BUCZKO WLODZIMIERZ,1,6.833333333333333
BUCZYNSKI RYSZARD,11,4.516129032258065
BUDKOWSKI ANDRZEJ,1,2.0
BUDNIAK ADAM,3,1.0
BUDNICKI DAWID,1,18.137931034482758
BUDYNEK PAULINA,6,31.0
BUDZIOCH JANUSZ,5,4.857142857142857
BUDZKO LUCYNA,4,10.066666666666666
BUGNO RYSZARD,3,5.0
BUJAK IWONA,3,8.0
BUJAK-GIZYCKA BEATA,4,3.8
BUJNICKI JANUSZ,22,9.0
BUJNOWSKA BOZENA,1,1.0
BUJNOWSKA ELZBIETA,10,9.444444444444445
BUJNOWSKI KRZYSZTOF,5,7.0
BUKATO KATARZYNA,1,16.875
BUKOWSKI MICHAL,2,1.6666666666666667
BULANDA MALGORZATA,3,11.571428571428571
BULKOWSKA URSZULA,7,1.0
BULWAN MARIA,1,19.214285714285715
